qN	qID	type	question	DRS-question	DRS-Ont-question	SPARQL-question	Result-question	template-id	SPARQL
51	Q0002	SINGLE_FACT	 "What are the papers written by the person Sara Rodriguez?" 	dEntities=[ DEntity(X1, paper, papers, NOUN, the, 4, null),  DEntity(X2, write, written, VERB, null, 5, null),  DEntity(X3, person, person, NOUN, the, 8, null)],  dConditions=[ DCondition(X1, has_text, paper, propriedades= [] --- []),  DCondition(X2, has_text, write, propriedades= [] --- []),  DCondition(X3, has_text, person, propriedades= [] --- []),  DCondition(X3, has_name, Sara Rodriguez, propriedades= [] --- []),  DCondition(X1, what, true, propriedades= [] --- []),  DCondition(X2, nsubj:pass, X1, propriedades= [] --- []),  DCondition(X2, obl_by, X3, propriedades= [] --- [])]	dEntities=[ DEntity(X1, paper, papers, NOUN, the, null, Document),  DEntity(X2, write, written, VERB, null, null, Create),  DEntity(X3, person, person, NOUN, the, null, Person),  DEntity(X4, null, null, null, null, null, Query),  DEntity(X5, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, paper, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_text, write, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_text, person, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_name, Sara Rodriguez, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X1, what, true, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, nsubj:pass, X1, propriedades= [create_what] --- []),  DCondition(X2, obl_by, X3, propriedades= [who_create] --- []),  DCondition(X4, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_name, the, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, obj, X1, propriedades= [select] --- []),  DCondition(X4, subj, X5, propriedades= [qQualifier] --- [])]  numEntitiesOk = 1   numPropsOk = 16  numEntitiesNOk = 0  numClassesOk = 3]	SELECT ?document1 WHERE {  ?document1 dblp:authoredBy ?person1 .  ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"Sara Rodriguez","i")). } 	4	TC01	{ "sparql": "SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/04/6636> }" }
52	Q0004	SINGLE_FACT	 "What are the papers written by the person Daniel Neamati?" 	dEntities=[ DEntity(X1, paper, papers, NOUN, the, 4, null),  DEntity(X2, write, written, VERB, null, 5, null),  DEntity(X3, person, person, NOUN, the, 8, null)],  dConditions=[ DCondition(X1, has_text, paper, propriedades= [] --- []),  DCondition(X2, has_text, write, propriedades= [] --- []),  DCondition(X3, has_text, person, propriedades= [] --- []),  DCondition(X3, has_name, Daniel Neamati, propriedades= [] --- []),  DCondition(X1, what, true, propriedades= [] --- []),  DCondition(X2, nsubj:pass, X1, propriedades= [] --- []),  DCondition(X2, obl_by, X3, propriedades= [] --- [])]	dEntities=[ DEntity(X1, paper, papers, NOUN, the, null, Document),  DEntity(X2, write, written, VERB, null, null, Create),  DEntity(X3, person, person, NOUN, the, null, Person),  DEntity(X4, null, null, null, null, null, Query),  DEntity(X5, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, paper, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_text, write, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_text, person, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_name, Daniel Neamati, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X1, what, true, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, nsubj:pass, X1, propriedades= [create_what] --- []),  DCondition(X2, obl_by, X3, propriedades= [who_create] --- []),  DCondition(X4, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_name, the, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, obj, X1, propriedades= [select] --- []),  DCondition(X4, subj, X5, propriedades= [qQualifier] --- [])]  numEntitiesOk = 1   numPropsOk = 16  numEntitiesNOk = 0  numClassesOk = 3]	SELECT ?document1 WHERE {  ?document1 dblp:authoredBy ?person1 .  ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"Daniel Neamati","i")). } 	4	TC01	{ "sparql": "SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/304/4294> }" }
53	Q0012	SINGLE_FACT	 "What are the papers written by the person Omer L.?" 	dEntities=[ DEntity(X2, paper, papers, NOUN, the, 4, null),  DEntity(X3, write, written, VERB, null, 5, null),  DEntity(X4, person, person, NOUN, the, 8, null)],  dConditions=[ DCondition(X2, has_text, paper, propriedades= [] --- []),  DCondition(X3, has_text, write, propriedades= [] --- []),  DCondition(X4, has_text, person, propriedades= [] --- []),  DCondition(X4, has_name, Omer L.?, propriedades= [] --- []),  DCondition(X2, what, true, propriedades= [] --- []),  DCondition(X3, nsubj:pass, X2, propriedades= [] --- []),  DCondition(X3, obl_by, X4, propriedades= [] --- [])]	dEntities=[ DEntity(X1, paper, papers, NOUN, the, null, Document),  DEntity(X2, write, written, VERB, null, null, Create),  DEntity(X3, person, person, NOUN, the, null, Person),  DEntity(X4, null, null, null, null, null, Query),  DEntity(X5, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, paper, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_text, write, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_text, person, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_name, Omer L.?, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X1, what, true, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, nsubj:pass, X1, propriedades= [create_what] --- []),  DCondition(X2, obl_by, X3, propriedades= [who_create] --- []),  DCondition(X4, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_name, the, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, obj, X1, propriedades= [select] --- []),  DCondition(X4, subj, X5, propriedades= [qQualifier] --- [])]  numEntitiesOk = 1   numPropsOk = 16  numEntitiesNOk = 0  numClassesOk = 3]	SELECT ?document1 WHERE {  ?document1 dblp:authoredBy ?person1 .  ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,""Omer L.?"",""i"")). } "	3	TC01	{ "sparql": "SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/93/5969> }" }
54	Q0026	SINGLE_FACT	 "What are the papers written by João Manuel R. S. Tavares?" 	dEntities=[ DEntity(X2, paper, papers, NOUN, the, 4, null),  DEntity(X3, write, written, VERB, null, 5, null),  DEntity(X4, João Manuel R. S. Tavares, João, PROPN, null, 7, null)],  dConditions=[ DCondition(X2, has_text, paper, propriedades= [] --- []),  DCondition(X3, has_text, write, propriedades= [] --- []),  DCondition(X4, has_name, João Manuel R. S. Tavares, propriedades= [] --- []),  DCondition(X2, what, true, propriedades= [] --- []),  DCondition(X3, nsubj:pass, X2, propriedades= [] --- []),  DCondition(X3, obl_by, X4, propriedades= [] --- [])]	DEntity(X1, paper, papers, NOUN, the, null, Document),  DEntity(X2, write, written, VERB, null, null, Create),  DEntity(X3, João Manuel R. S. Tavares, João, PROPN, null, null, Person),  DEntity(X4, null, null, null, null, null, Query),  DEntity(X5, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, paper, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_text, write, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_name, João Manuel R. S. Tavares, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X1, what, true, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, nsubj:pass, X1, propriedades= [create_what] --- []),  DCondition(X2, obl_by, X3, propriedades= [who_create] --- []),  DCondition(X4, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_name, the, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, obj, X1, propriedades= [select] --- []),  DCondition(X4, subj, X5, propriedades= [qQualifier] --- [])]  numEntitiesOk = 1   numPropsOk = 16  numEntitiesNOk = 0  numClassesOk = 2]	SELECT ?document1 WHERE {  ?document1 dblp:authoredBy ?person1 .  ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,""João Manuel R. S. Tavares"",""i"")). }	4	TC01	{ "sparql": "SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/t/JoaoManuelRSTavares> }" }
55	Q0091	SINGLE_FACT	 "Which publications did Matti O. Jokinen author?" 	n.a.	n.a.	n.a.	0	TC01	{ "sparql": "SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/51/4130> }" }
56	Q0007	SINGLE_FACT	 "Sameh S. Askar is primarily affiliated to which institution?" 	dEntities=[ DEntity(X1, Sameh S. Askar, Sameh, PROPN, null, 1, null),  DEntity(X2, affiliate, affiliated, VERB, null, 6, null),  DEntity(X3, institution, institution, NOUN, which, 9, null)],  dConditions=[ DCondition(X1, has_name, Sameh S. Askar, propriedades= [] --- []),  DCondition(X2, has_text, affiliate, propriedades= [] --- []),  DCondition(X3, has_text, institution, propriedades= [] --- []),  DCondition(X2, nsubj:pass, X1, propriedades= [] --- []),  DCondition(X2, mod, primarily, propriedades= [] --- []),  DCondition(X2, obl_to, X3, propriedades= [] --- [])]	dEntities=[ DEntity(X1, Sameh S. Askar, Sameh, PROPN, null, null, Person),  DEntity(X2, affiliate, affiliated, VERB, null, null, Associate),  DEntity(X3, institution, institution, NOUN, which, null, ConceptPerson),  DEntity(X4, null, null, null, null, null, Query),  DEntity(X5, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_name, Sameh S. Askar, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_text, affiliate, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_text, institution, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X2, nsubj:pass, X1, propriedades= [assoc_Person] --- []),  DCondition(X2, mod, primarily, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, obl_to, X3, propriedades= [assoc_ConcPerson] --- []),  DCondition(X4, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_name, which, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, obj, X3, propriedades= [select] --- []),  DCondition(X4, subj, X5, propriedades= [qQualifier] --- [])]  numEntitiesOk = 0   numPropsOk = 12  numEntitiesNOk = 0  numClassesOk = 1]]	SELECT ?conceptPerson1 WHERE { ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"Sameh S. Askar","i")). ?person1 ?prop1 ?conceptPerson1. filter (regex(?prop,"affiliation","i")). filter (regex(?prop,"primary","i")). } 	4	TC02	{ "sparql": "SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/141/4165> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer }" }
57	Q0037	SINGLE_FACT	 "What is the primary affiliation of the author Khaled Salah?" 	dEntities=[ DEntity(X1, mention, Mention, VERB, null, 1, null),  DEntity(X2, affiliation, affiliation, NOUN, the, 4, null),  DEntity(X3, Khaled Salah, Khaled, PROPN, null, 6, null)],  dConditions=[ DCondition(X1, has_text, mention, propriedades= [] --- []),  DCondition(X2, has_text, affiliation, propriedades= [] --- []),  DCondition(X3, has_name, Khaled Salah, propriedades= [] --- []),  DCondition(X2, mod, primary, propriedades= [] --- []),  DCondition(X1, obj, X2, propriedades= [] --- []),  DCondition(X2, of, X3, propriedades= [] --- [])]	dEntities=[ DEntity(X1, mention, Mention, VERB, null, null, Query),  DEntity(X2, affiliation, affiliation, NOUN, the, null, ConceptPerson),  DEntity(X3, Khaled Salah, Khaled, PROPN, null, null, Person),  DEntity(X4, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, mention, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_text, affiliation, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X3, has_name, Khaled Salah, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, mod, primary, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X1, obj, X2, propriedades= [select] --- []),  DCondition(X2, of, X3, propriedades= [conc_of_Person] --- []),  DCondition(X4, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_name, null, propriedades= [] --- []),  DCondition(X1, subj, X4, propriedades= [qQualifier] --- [])]  numEntitiesOk = 0   numPropsOk = 8  numEntitiesNOk = 0  numClassesOk = 2]	SELECT ?conceptPerson1 WHERE { ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"  Khaled Salah","i")). ?person1 ?prop1 ?conceptPerson1. filter (regex(?prop,"affiliation","i")). filter (regex(?prop,"primary","i")). } 	4	TC02	{ "sparql": "SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/s/KhaledSalah> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer }" }
58	Q0049	SINGLE_FACT	 "Shengli W. is primarily affiliated to which institution?" 	dEntities=[ DEntity(X1, Shengli W., Shengli, PROPN, null, 1, null),  DEntity(X2, affiliate, affiliated, VERB, null, 5, null),  DEntity(X3, institution, institution, NOUN, which, 8, null)],  dConditions=[ DCondition(X1, has_name, Shengli W., propriedades= [] --- []),  DCondition(X2, has_text, affiliate, propriedades= [] --- []),  DCondition(X3, has_text, institution, propriedades= [] --- []),  DCondition(X2, nsubj:pass, X1, propriedades= [] --- []),  DCondition(X2, mod, primarily, propriedades= [] --- []),  DCondition(X2, obl_to, X3, propriedades= [] --- [])]	dEntities=[ DEntity(X1, Shengli W., Shengli, PROPN, null, null, Person),  DEntity(X2, affiliate, affiliated, VERB, null, null, Associate),  DEntity(X3, institution, institution, NOUN, which, null, ConceptPerson),  DEntity(X4, null, null, null, null, null, Query),  DEntity(X5, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_name, Shengli W., propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_text, affiliate, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_text, institution, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X2, nsubj:pass, X1, propriedades= [assoc_Person] --- []),  DCondition(X2, mod, primarily, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, obl_to, X3, propriedades= [assoc_ConcPerson] --- []),  DCondition(X4, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_name, which, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, obj, X3, propriedades= [select] --- []),  DCondition(X4, subj, X5, propriedades= [qQualifier] --- [])]  numEntitiesOk = 0   numPropsOk = 12  numEntitiesNOk = 0  numClassesOk = 1]]	SELECT ?conceptPerson1 WHERE { ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"  Shengli W.","i")). ?person1 ?prop1 ?conceptPerson1. filter (regex(?prop,"affiliation","i")). filter (regex(?prop,"primary","i")). } 	4	TC02	{ "sparql": "SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/w/ShengliWu> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer }" }
59	Q0065	SINGLE_FACT	 "What is the primary affiliation of János Pach?" 	dEntities=[ DEntity(X1, affiliation, affiliation, NOUN, the, 5, null),  DEntity(X2, János Pach, János, PROPN, null, 7, null)],  dConditions=[ DCondition(X1, has_text, affiliation, propriedades= [] --- []),  DCondition(X2, has_name, János Pach, propriedades= [] --- []),  DCondition(X1, mod, primary, propriedades= [] --- []),  DCondition(X1, what, true, propriedades= [] --- []),  DCondition(X1, of, X2, propriedades= [] --- [])]	dEntities=[ DEntity(X1, affiliation, affiliation, NOUN, the, null, ConceptPerson),  DEntity(X2, János Pach, János, PROPN, null, null, Person),  DEntity(X3, null, null, null, null, null, Query),  DEntity(X4, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, affiliation, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X2, has_name, János Pach, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X1, mod, primary, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X1, what, true, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X1, of, X2, propriedades= [conc_of_Person] --- []),  DCondition(X3, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_name, the, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, obj, X1, propriedades= [select] --- []),  DCondition(X3, subj, X4, propriedades= [qQualifier] --- [])]  numEntitiesOk = 0   numPropsOk = 12  numEntitiesNOk = 0  numClassesOk = 1]]	SELECT ?conceptPerson1 WHERE { ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"János Pach","i")). ?person1 ?prop1 ?conceptPerson1. filter (regex(?prop,"affiliation","i")). filter (regex(?prop,"primary","i")). } 	4	TC02	{ "sparql": "SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/18/2119> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer }" }
60	Q0085	SINGLE_FACT	 "Find the primary affiliation of Ingrid Zukerman." 	dEntities=[ DEntity(X1, find, Find, VERB, null, 1, null),  DEntity(X2, affiliation, affiliation, NOUN, the, 4, null),  DEntity(X3, Ingrid Zukerman, Ingrid, PROPN, null, 6, null)],  dConditions=[ DCondition(X1, has_text, find, propriedades= [] --- []),  DCondition(X2, has_text, affiliation, propriedades= [] --- []),  DCondition(X3, has_name, Ingrid Zukerman, propriedades= [] --- []),  DCondition(X2, mod, primary, propriedades= [] --- []),  DCondition(X1, obj, X2, propriedades= [] --- []),  DCondition(X2, of, X3, propriedades= [] --- [])]	dEntities=[ DEntity(X1, find, Find, VERB, null, null, Associate),  DEntity(X2, affiliation, affiliation, NOUN, the, null, ConceptPerson),  DEntity(X3, Ingrid Zukerman, Ingrid, PROPN, null, null, Person),  DEntity(X4, null, null, null, null, null, Query),  DEntity(X5, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, find, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_text, affiliation, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X3, has_name, Ingrid Zukerman, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, mod, primary, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X1, obj, X2, propriedades= [assoc_ConcPerson] --- []),  DCondition(X2, of, X3, propriedades= [conc_of_Person] --- []),  DCondition(X4, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_name, the, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, obj, X2, propriedades= [select] --- []),  DCondition(X4, subj, X5, propriedades= [qQualifier] --- [])]  numEntitiesOk = 0   numPropsOk = 12  numEntitiesNOk = 0  numClassesOk = 1]	SELECT ?conceptPerson1 WHERE { ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"Ingrid Zukerman","i")). ?person1?prop1 ?conceptPerson1. filter (regex(?prop,"affiliation","i")). filter (regex(?prop,"primary","i")). } 	4	TC02	{ "sparql": "SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/z/IngridZukerman> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer }" }
61	Q0008	SINGLE_FACT	 "What is the ORCID of Matti Rossi?" 	dEntities=[ DEntity(X2, orcid, ORCID, NOUN, the, 4, null),  DEntity(X3, Matti Rossi, Matti, PROPN, null, 6, null)],  dConditions=[ DCondition(X2, has_text, orcid, propriedades= [] --- []),  DCondition(X3, has_name, Matti Rossi, propriedades= [] --- []),  DCondition(X2, what, true, propriedades= [] --- []),  DCondition(X2, of, X3, propriedades= [] --- [])]	dEntities=[ DEntity(X1, orcid, ORCID, NOUN, the, null, ConceptPerson),  DEntity(X2, Matti Rossi, Matti, PROPN, null, null, Person),  DEntity(X3, null, null, null, null, null, Query),  DEntity(X4, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, orcid, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X2, has_name, Matti Rossi, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X1, what, true, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X1, of, X2, propriedades= [conc_of_Person] --- []),  DCondition(X3, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_name, the, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, obj, X1, propriedades= [select] --- []),  DCondition(X3, subj, X4, propriedades= [qQualifier] --- [])]  numEntitiesOk = 0   numPropsOk = 12  numEntitiesNOk = 0  numClassesOk = 0]]	SELECT ?conceptPerson1 WHERE { ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"Matti Rossi","i")). ?person1 ?prop1 ?conceptPerson1. filter (regex(?prop,"orcid","i")). } 	4	TC03	{ "sparql": "SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/r/MattiRossi> <https://dblp.org/rdf/schema#orcid> ?answer }" }
62	Q0018	SINGLE_FACT	 "What is the ORCID of the person El-Gayar, Omar F.?" 	dEntities=[ DEntity(X1, orcid, ORCID, NOUN, the, 4, null),  DEntity(X2, person, person, NOUN, the, 7, null),  DEntity(X3, Omar F., Omar, PROPN, null, 12, null)],  dConditions=[ DCondition(X1, has_text, orcid, propriedades= [] --- []),  DCondition(X2, has_text, person, propriedades= [] --- []),  DCondition(X2, has_name, El Gayar, propriedades= [] --- []),  DCondition(X3, has_name, Omar F., propriedades= [] --- []),  DCondition(X1, what, true, propriedades= [] --- []),  DCondition(X1, of, X2, propriedades= [] --- [])]	n.a.	n.a.	1	TC03	{ "sparql": "SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/16/304> <https://dblp.org/rdf/schema#orcid> ?answer }" }
63	Q0021	SINGLE_FACT	 "What is the ORCID of Goele Pipeleers?" 	dEntities=[ DEntity(X1, orcid, ORCID, NOUN, the, 4, null),  DEntity(X2, Goele Pipeleer, Pipeleers, PROPN, null, 7, null)],  dConditions=[ DCondition(X1, has_text, orcid, propriedades= [] --- []),  DCondition(X2, has_name, Goele Pipeleer, propriedades= [] --- []),  DCondition(X1, what, true, propriedades= [] --- []),  DCondition(X1, of, X2, propriedades= [] --- [])]	dEntities=[ DEntity(X1, orcid, ORCID, NOUN, the, null, ConceptPerson),  DEntity(X2, Goele Pipeleer, Pipeleers, PROPN, null, null, Person),  DEntity(X3, null, null, null, null, null, Query),  DEntity(X4, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, orcid, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X2, has_name, Goele Pipeleer, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X1, what, true, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X1, of, X2, propriedades= [conc_of_Person] --- []),  DCondition(X3, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_name, the, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, obj, X1, propriedades= [select] --- []),  DCondition(X3, subj, X4, propriedades= [qQualifier] --- [])]  numEntitiesOk = 0   numPropsOk = 12  numEntitiesNOk = 0  numClassesOk = 1]]	SELECT ?conceptPerson1 WHERE { ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"Goele Pipeleers","i")). ?person1 ?prop1 ?conceptPerson1. filter (regex(?prop,"orcid","i")). } 	4	TC03	{ "sparql": "SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/98/4973> <https://dblp.org/rdf/schema#orcid> ?answer }" }
64	Q0024	SINGLE_FACT	 "What is the ORCID of James W. P. Hirschfeld?" 	dEntities=[ DEntity(X2, orcid, ORCID, NOUN, the, 4, null),  DEntity(X3, James W. P. Hirschfeld, James, PROPN, null, 6, null)],  dConditions=[ DCondition(X2, has_text, orcid, propriedades= [] --- []),  DCondition(X3, has_name, James W. P. Hirschfeld, propriedades= [] --- []),  DCondition(X2, what, true, propriedades= [] --- []),  DCondition(X2, of, X3, propriedades= [] --- [])]	dEntities=[ DEntity(X1, orcid, ORCID, NOUN, the, null, ConceptPerson),  DEntity(X2, James W. P. Hirschfeld, James, PROPN, null, null, ConceptPerson),  DEntity(X3, null, null, null, null, null, Query),  DEntity(X4, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, orcid, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X2, has_name, James W. P. Hirschfeld, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X1, what, true, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X1, of, X2, propriedades= [conc_of_conc_Person] --- []),  DCondition(X3, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_name, the, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, obj, X1, propriedades= [select] --- []),  DCondition(X3, subj, X4, propriedades= [qQualifier] --- [])]  numEntitiesOk = 0   numPropsOk = 12  numEntitiesNOk = 0  numClassesOk = 1]	SELECT ?conceptPerson1 WHERE { ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"James W. P. Hirschfeld","i")). ?person1 ?prop1 ?conceptPerson1. filter (regex(?prop,"orcid","i")). } 	4	TC03	{ "sparql": "SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/h/JWPHirschfeld> <https://dblp.org/rdf/schema#orcid> ?answer }" }
